condition_id,paired_condition_id,task_family,episode_id,step,terminated,p_continue,p_disengage,persistence_logit,top_token_is_action,p_action_mass_raw,response_mapping,model,model_revision
llama_label_validation_v1-001f79be77a290e5-m0,llama_label_validation_v1-001f79be77a290e5,foraging,llama_label_validation_v1-001f79be77a290e5-m0,0,True,0.9859363729567545,0.014063627043245475,4.25,True,1.0,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-001f79be77a290e5-m1,llama_label_validation_v1-001f79be77a290e5,foraging,llama_label_validation_v1-001f79be77a290e5-m1,0,True,0.5312093733737563,0.46879062662624377,0.125,True,0.9999923706054688,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-00807e30107070a1-m0,llama_label_validation_v1-00807e30107070a1,debugging,llama_label_validation_v1-00807e30107070a1-m0,0,True,0.9902915235185259,0.009708476481474066,4.625,True,0.9999313950538635,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-00807e30107070a1-m1,llama_label_validation_v1-00807e30107070a1,debugging,llama_label_validation_v1-00807e30107070a1-m1,0,True,0.2689414213699951,0.7310585786300049,-1.0000000000000002,True,0.9997120499610901,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-02b0ff50e498bc60-m0,llama_label_validation_v1-02b0ff50e498bc60,effort,llama_label_validation_v1-02b0ff50e498bc60-m0,0,True,0.5,0.5,0.0,True,0.9999580383300781,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-02b0ff50e498bc60-m1,llama_label_validation_v1-02b0ff50e498bc60,effort,llama_label_validation_v1-02b0ff50e498bc60-m1,0,True,0.0675466911396291,0.9324533088603709,-2.625,True,0.9999561309814453,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-02d875d7e7653844-m0,llama_label_validation_v1-02d875d7e7653844,bandit,llama_label_validation_v1-02d875d7e7653844-m0,0,True,0.7057850278370112,0.29421497216298875,0.8750000000000001,True,0.9998893737792969,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-02d875d7e7653844-m1,llama_label_validation_v1-02d875d7e7653844,bandit,llama_label_validation_v1-02d875d7e7653844-m1,0,True,0.24508501313237172,0.7549149868676283,-1.125,True,0.9999714493751526,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-0349b0c7d6a34ed9-m0,llama_label_validation_v1-0349b0c7d6a34ed9,solvability,llama_label_validation_v1-0349b0c7d6a34ed9-m0,0,True,0.9149009549929797,0.08509904500702024,2.375,True,0.999969482421875,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_label_validation_v1-0349b0c7d6a34ed9-m1,llama_label_validation_v1-0349b0c7d6a34ed9,solvability,llama_label_validation_v1-0349b0c7d6a34ed9-m1,0,True,0.6513548646660542,0.34864513533394575,0.625,True,0.999977171421051,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
