design_id,condition_id,paired_condition_id,task_family,episode_id,step,history_actions,history_outcomes,history_length,history_valence,response_mapping,continuation_advantage,semantic_hash,factor_continuation_value,factor_disengagement_value,factor_continuation_cost,factor_progress_evidence,factor_success_evidence,factor_uncertainty,factor_prior_investment,factor_controllability,factor_environmental_stability,factor_goal_continuity,factor_available_continuation_value,factor_available_disengagement_value,factor_available_continuation_cost,factor_available_progress_evidence,factor_available_success_evidence,factor_available_uncertainty,factor_available_prior_investment,factor_available_controllability,factor_available_environmental_stability,factor_available_goal_continuity,context_phase_order,context_a_history_valence,context_b_history_valence,context_a_history_actions,context_a_history_outcomes,context_b_history_actions,context_b_history_outcomes,context_context_return,context_cue_reliability,context_cue_probability,context_change_point,context_cue_rule,context_a_environment_rate,context_b_environment_rate,context_critical_contrast_id,domain,prediction_dual_history,prediction_latent_context,prediction_outcome_history,disagreement_variance,absolute_difference_dual_history_latent_context,absolute_difference_dual_history_outcome_history,absolute_difference_latent_context_outcome_history,disagreement_raw,disagreement_score,uncertainty_variance_dual_history,uncertainty_variance_latent_context,uncertainty_variance_outcome_history,uncertainty_raw,uncertainty_score,coverage_marginal,coverage_pairwise,coverage_task_factor,coverage_score,coverage_contextual,active_discrimination_score,selection_unit,random_priority,sampling_strategy,selection_seed,split
theory_resolution_contextual_v1,theory_resolution_contextual_v1-c84ba88df259f2e5-m0,theory_resolution_contextual_v1-c84ba88df259f2e5,bandit,theory_resolution_contextual_v1-c84ba88df259f2e5,3,"[""continue"", ""disengage"", ""continue""]","[1, 1, 1]",3,positive,"{""continue"": ""X"", ""disengage"": ""Y""}",2.0,c84ba88df259f2e5bfbf435b07527f8ccd5d72a542c01c357c1d758530eded6f,high,medium,low,,high,high,low,,stable,new,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",mixed,positive,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]","[""continue"", ""disengage"", ""continue""]","[1, 1, 1]",A,low,0.6,same_environment,Circuit families are distinguished by audited reward-frequency bands.,0.544,0.146,critical-bandit-00000813,bandit:contextual,2.3577413520913915,1.836502596219481,2.256843829164713,0.050950766985506046,0.5212387558719105,0.10089752292667864,0.42034123294523185,0.5212387558719105,0.9261,0.0020533386445301706,0.0014778468334767567,0.0016828691523197892,0.0017380182101089058,0.56805,0.008916436419308692,0.014038685849284407,0.021260969345773754,0.20816875,0.750025,0.6571046875000001,context:critical-bandit-00000813,0.0003955186432216262,random,380229,model_discrimination
theory_resolution_contextual_v1,theory_resolution_contextual_v1-f623e34fec303029-m0,theory_resolution_contextual_v1-f623e34fec303029,bandit,theory_resolution_contextual_v1-f623e34fec303029,3,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",3,mixed,"{""continue"": ""X"", ""disengage"": ""Y""}",2.0,f623e34fec303029a54db259e6aba3ac218a13449013b67c74342ae65dad1b9b,high,medium,low,,high,high,low,,stable,new,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",positive,mixed,"[""continue"", ""disengage"", ""continue""]","[1, 1, 1]","[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",A,low,0.6,same_environment,Circuit families are distinguished by audited reward-frequency bands.,0.544,0.146,critical-bandit-00000813,bandit:contextual,1.4652099118190467,1.9901163371126578,1.5728961827253505,0.051243971720354636,0.5249064252936111,0.10768627090630378,0.4172201543873073,0.5249064252936111,0.92875,0.0013462107525912587,0.0016647010160161866,0.0014471063973237905,0.001486006055310412,0.39645,0.008916436419308692,0.014038685849284407,0.021260969345773754,0.20816875,0.750025,0.6155296875,context:critical-bandit-00000813,0.06447249902189522,random,380229,model_discrimination
theory_resolution_contextual_v1,theory_resolution_contextual_v1-972e1156904f8ca1-m0,theory_resolution_contextual_v1-972e1156904f8ca1,bandit,theory_resolution_contextual_v1-972e1156904f8ca1,3,"[""continue"", ""disengage"", ""continue""]","[-1, -1, -1]",3,negative,"{""continue"": ""X"", ""disengage"": ""Y""}",-1.0,972e1156904f8ca1b0081907ab9a1537702b5d36622d6309731f8cffd2aa1c09,low,medium,medium,,medium,high,low,,changing,same,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",mixed,negative,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]","[""continue"", ""disengage"", ""continue""]","[-1, -1, -1]",A,low,0.6,change_point,Circuit families are distinguished by audited reward-frequency bands.,0.421,0.143,critical-bandit-00001221,bandit:contextual,-0.9305474555486968,-0.6240489928528226,-1.022341507889892,0.029000487023856283,0.3064984626958742,0.09179405234119531,0.3982925150370695,0.3064984626958742,0.7658,0.0018760244948823294,0.0010901824580194736,0.001248376479311884,0.001404861144071229,0.34105,0.00901061079237837,0.014215137518696666,0.02119468058851845,0.22654375000000002,0.750025,0.5247984375,context:critical-bandit-00001221,0.0005354184420618413,random,380229,round3_train
theory_resolution_contextual_v1,theory_resolution_contextual_v1-d59760d302b81291-m0,theory_resolution_contextual_v1-d59760d302b81291,bandit,theory_resolution_contextual_v1-d59760d302b81291,3,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",3,mixed,"{""continue"": ""X"", ""disengage"": ""Y""}",-1.0,d59760d302b8129199bf47a399a823d27193029dfb5cddfca34ce51b42811836,low,medium,medium,,medium,high,low,,changing,same,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",negative,mixed,"[""continue"", ""disengage"", ""continue""]","[-1, -1, -1]","[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",A,low,0.6,change_point,Circuit families are distinguished by audited reward-frequency bands.,0.421,0.143,critical-bandit-00001221,bandit:contextual,-0.513662054772942,-0.3905629585452125,-0.40480638667353086,0.0030228688015888384,0.12309909622772952,0.10885566809941116,0.014243428128318358,0.12309909622772952,0.574,0.0012254823428041865,0.000985429600519736,0.0009794038875597015,0.0010634386102945413,0.1365,0.00901061079237837,0.014215137518696666,0.02119468058851845,0.22654375000000002,0.750025,0.3777609375,context:critical-bandit-00001221,0.28280731095555767,random,380229,round3_train
theory_resolution_contextual_v1,theory_resolution_contextual_v1-ab7cc5121727f0dd-m0,theory_resolution_contextual_v1-ab7cc5121727f0dd,bandit,theory_resolution_contextual_v1-ab7cc5121727f0dd,3,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",3,mixed,"{""continue"": ""X"", ""disengage"": ""Y""}",1.0,ab7cc5121727f0dda74fb0b18ed9554a08738ff33e3ac6e59ff8be62192bc70f,high,medium,medium,,high,low,high,,stable,new,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",positive,mixed,"[""continue"", ""disengage"", ""continue""]","[1, 1, 1]","[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",B,medium,0.8,change_point,The blue circuit uses a high-volatility generator and the amber circuit a low-volatility generator.,0.13,0.722,critical-bandit-00004980,bandit:contextual,1.1293873382370552,1.242403737204775,1.2362127617209433,0.002691411746176028,0.11301639896771976,0.10682542348388813,0.006190975483831629,0.11301639896771976,0.5481,0.0017215785398075848,0.0014814588228103634,0.0016926930888300897,0.0016319101504826794,0.4983,0.008936344543912095,0.01405740044021647,0.021440506537176107,0.2282125,0.750025,0.455678125,context:critical-bandit-00004980,0.0006289663978711335,random,380229,round3_train
theory_resolution_contextual_v1,theory_resolution_contextual_v1-71c4944b1f091a6d-m0,theory_resolution_contextual_v1-71c4944b1f091a6d,bandit,theory_resolution_contextual_v1-71c4944b1f091a6d,3,"[""continue"", ""disengage"", ""continue""]","[1, 1, 1]",3,positive,"{""continue"": ""X"", ""disengage"": ""Y""}",1.0,71c4944b1f091a6d0939cd6cff9b0bd3bcad3ad9594b40d6abf5c1b6c2945dba,high,medium,medium,,high,low,high,,stable,new,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",mixed,positive,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]","[""continue"", ""disengage"", ""continue""]","[1, 1, 1]",B,medium,0.8,change_point,The blue circuit uses a high-volatility generator and the amber circuit a low-volatility generator.,0.13,0.722,critical-bandit-00004980,bandit:contextual,2.0219187785094,1.3960174780979515,1.9201604081603052,0.0752036683252439,0.6259013004114484,0.10175837034909474,0.5241429300623537,0.6259013004114484,0.9514,0.0017648629151931561,0.001498753797616007,0.0017467375998749264,0.0016701181042280298,0.52295,0.008936344543912095,0.01405740044021647,0.021440506537176107,0.2282125,0.750025,0.663490625,context:critical-bandit-00004980,0.9852141943423091,random,380229,round3_train
theory_resolution_contextual_v1,theory_resolution_contextual_v1-d63dda4b4a3c71a3-m0,theory_resolution_contextual_v1-d63dda4b4a3c71a3,bandit,theory_resolution_contextual_v1-d63dda4b4a3c71a3,3,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",3,mixed,"{""continue"": ""X"", ""disengage"": ""Y""}",0.0,d63dda4b4a3c71a387fc70e0ca1e0d3e1ed3098e7e18517e0a50b6a61248d8e5,high,medium,high,,medium,high,low,,changing,new,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",negative,mixed,"[""continue"", ""disengage"", ""continue""]","[-1, -1, -1]","[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",B,low,0.6,change_point,The blue circuit uses a high-volatility generator and the amber circuit a low-volatility generator.,0.817,0.602,critical-bandit-00003678,bandit:contextual,-0.027673115707961382,0.1025800173100555,0.08405476597541961,0.003310242571497356,0.1302531330180169,0.11172788168338099,0.018525251334635895,0.1302531330180169,0.5905,0.0011744589658557426,0.0009779052691027792,0.0009119760145455288,0.0010214467498346836,0.1159,0.00886046530622123,0.013811220509274389,0.021193302256131648,0.19187500000000002,0.750025,0.37219375,context:critical-bandit-00003678,0.0007573646624468022,random,380229,round3_train
theory_resolution_contextual_v1,theory_resolution_contextual_v1-7238824eb9bdc95b-m0,theory_resolution_contextual_v1-7238824eb9bdc95b,bandit,theory_resolution_contextual_v1-7238824eb9bdc95b,3,"[""continue"", ""disengage"", ""continue""]","[-1, -1, -1]",3,negative,"{""continue"": ""X"", ""disengage"": ""Y""}",0.0,7238824eb9bdc95b76eaf37fb5485e8e432d5269db7089948716402dd151e340,high,medium,high,,medium,high,low,,changing,new,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",mixed,negative,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]","[""continue"", ""disengage"", ""continue""]","[-1, -1, -1]",B,low,0.6,change_point,The blue circuit uses a high-volatility generator and the amber circuit a low-volatility generator.,0.817,0.602,critical-bandit-00003678,bandit:contextual,-0.44455851648371597,-0.11886821053508012,-0.5334803552409414,0.031764944370497344,0.32569030594863585,0.08892183875722542,0.4146121447058613,0.32569030594863585,0.7882,0.0015261213245598177,0.001037008798741093,0.00126422474391537,0.0012757849557387601,0.25165,0.00886046530622123,0.013811220509274389,0.021193302256131648,0.19187500000000002,0.750025,0.5049812499999999,context:critical-bandit-00003678,0.7615977028045514,random,380229,round3_train
theory_resolution_contextual_v1,theory_resolution_contextual_v1-d21be701230a54e8-m0,theory_resolution_contextual_v1-d21be701230a54e8,bandit,theory_resolution_contextual_v1-d21be701230a54e8,3,"[""continue"", ""disengage"", ""continue""]","[1, 1, 1]",3,positive,"{""continue"": ""X"", ""disengage"": ""Y""}",-2.0,d21be701230a54e8ed81889ffa432c1049659ccf1c8ae7ca1005e4ac947437f3,medium,high,high,,high,high,high,,stable,new,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",mixed,positive,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]","[""continue"", ""disengage"", ""continue""]","[1, 1, 1]",B,medium,0.8,change_point,The blue circuit uses a high-volatility generator and the amber circuit a low-volatility generator.,0.787,0.191,critical-bandit-00001902,bandit:contextual,0.8484767721626811,0.22745038073435403,0.7474142638926519,0.07402776102415283,0.6210263914283272,0.10106250827002927,0.5199638831582978,0.6210263914283272,0.947425,0.0016279323342919838,0.0010780957901319927,0.0012903736801708773,0.0013321339348649512,0.288875,0.009032312200107128,0.014411194945100084,0.02210646252962414,0.40684375,0.750025,0.6476421875,context:critical-bandit-00001902,0.0008419146511123854,random,380229,round3_train
theory_resolution_contextual_v1,theory_resolution_contextual_v1-1cce8542586cbe0a-m0,theory_resolution_contextual_v1-1cce8542586cbe0a,bandit,theory_resolution_contextual_v1-1cce8542586cbe0a,3,"[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",3,mixed,"{""continue"": ""X"", ""disengage"": ""Y""}",-2.0,1cce8542586cbe0a6a60c81bcc5f065846ccb40a05609ec208a9535814b2d554,medium,high,high,,high,high,high,,stable,new,True,True,True,False,True,True,True,False,True,True,"[""A1"", ""B"", ""A2""]",positive,mixed,"[""continue"", ""disengage"", ""continue""]","[1, 1, 1]","[""disengage"", ""continue"", ""disengage""]","[1, -1, 0]",B,medium,0.8,change_point,The blue circuit uses a high-volatility generator and the amber circuit a low-volatility generator.,0.787,0.191,critical-bandit-00001902,bandit:contextual,-0.044054668109663575,0.07383663984117733,0.06346661745328946,0.0028407471893105996,0.1178913079508409,0.10752128556295304,0.010370022387887867,0.1178913079508409,0.560275,0.0015036951150197775,0.0011222535571293448,0.0011882555586738145,0.0012714014102743123,0.248975,0.009032312200107128,0.014411194945100084,0.02210646252962414,0.40684375,0.750025,0.44409218749999996,context:critical-bandit-00001902,0.3169635672690143,random,380229,round3_train
