condition_id,paired_condition_id,episode_id,task_family,step,terminated,p_continue,p_disengage,persistence_logit,top_token_is_action,p_action_mass_raw,response_mapping,prompt_hash,model,model_revision
llama_order_calibration_v1-018d885767834ec1-m0,llama_order_calibration_v1-018d885767834ec1,llama_order_calibration_v1-018d885767834ec1-m0,waiting,0,True,0.9465966702001758,0.05340332979982424,2.875,True,0.9999733567237854,"{""continue"": ""X"", ""disengage"": ""Y""}",3829fa8e5acb8d8227214be9049fa914d0bacb5ac272fee2c3198d0016d151a5,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-018d885767834ec1-m1,llama_order_calibration_v1-018d885767834ec1,llama_order_calibration_v1-018d885767834ec1-m1,waiting,0,True,0.679178699175393,0.32082130082460697,0.7500000000000002,True,0.9995404481887817,"{""continue"": ""Y"", ""disengage"": ""X""}",9544d1ac2ca734abe1a20b4a19ec1407fe3a4b51361c4ccab20def3c808ff454,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0396ad67ad2d09d9-m0,llama_order_calibration_v1-0396ad67ad2d09d9,llama_order_calibration_v1-0396ad67ad2d09d9-m0,debugging,0,True,0.8175744761936437,0.18242552380635632,1.5000000000000002,True,0.9999618530273438,"{""continue"": ""X"", ""disengage"": ""Y""}",d7afda668492c13575106391c62faac7d5c1e4bbe49167f18f934355a5c8a256,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0396ad67ad2d09d9-m1,llama_order_calibration_v1-0396ad67ad2d09d9,llama_order_calibration_v1-0396ad67ad2d09d9-m1,debugging,0,True,0.34864513533394575,0.6513548646660542,-0.6249999999999999,True,0.9996452927589417,"{""continue"": ""Y"", ""disengage"": ""X""}",cbe88b2389ccc431bffb8f36b2717f86703f2f8a81420d190cab1f5ea18bf3f7,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-04792ecdb40fd831-m0,llama_order_calibration_v1-04792ecdb40fd831,llama_order_calibration_v1-04792ecdb40fd831-m0,solvability,0,True,0.9626731126558706,0.037326887344129464,3.25,True,0.9999923706054688,"{""continue"": ""X"", ""disengage"": ""Y""}",7d9cbce50dfafcbd8365a0bb2130a7cad967f69f85c887c1dbf59f4f86f595cc,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-04792ecdb40fd831-m1,llama_order_calibration_v1-04792ecdb40fd831,llama_order_calibration_v1-04792ecdb40fd831-m1,solvability,0,True,0.5926665999540698,0.40733340004593027,0.37499999999999994,True,0.9998912811279297,"{""continue"": ""Y"", ""disengage"": ""X""}",80ae6eadee36cfd29d04837aedfb9631e8d5a4880d425b47de7ee14f72ba3fef,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-04bd9dc7e316d229-m0,llama_order_calibration_v1-04bd9dc7e316d229,llama_order_calibration_v1-04bd9dc7e316d229-m0,information_sampling,0,True,0.9626731126558706,0.037326887344129464,3.25,True,0.9998722076416016,"{""continue"": ""X"", ""disengage"": ""Y""}",38f59d4dfa4ec1bebad6bfdbdce399cb1d5cb1772a6dcd49a9a5b4885771c265,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-04bd9dc7e316d229-m1,llama_order_calibration_v1-04bd9dc7e316d229,llama_order_calibration_v1-04bd9dc7e316d229-m1,information_sampling,0,True,0.679178699175393,0.32082130082460697,0.7500000000000002,True,0.9994431734085083,"{""continue"": ""Y"", ""disengage"": ""X""}",04f4495601b82a2c963d40134e0473d20f02ea50dac0881d2d667413a5dc6248,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b18897be2db024f-m0,llama_order_calibration_v1-0b18897be2db024f,llama_order_calibration_v1-0b18897be2db024f-m0,effort,0,True,0.9990889488055994,0.0009110511944006454,7.0,True,1.0,"{""continue"": ""X"", ""disengage"": ""Y""}",d28eb8f457de0b3eb9ed139dfef5a1c94229f970ca2dbbb98b9b32394bb8c47f,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b18897be2db024f-m1,llama_order_calibration_v1-0b18897be2db024f,llama_order_calibration_v1-0b18897be2db024f-m1,effort,0,True,0.9770226300899744,0.02297736991002561,3.75,True,0.9999504685401917,"{""continue"": ""Y"", ""disengage"": ""X""}",ca22fa5fc762584ceed62135aecc8bb7a518a97af1678456e3a593cd28db0a87,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b89a3dcfb759f66-m0,llama_order_calibration_v1-0b89a3dcfb759f66,llama_order_calibration_v1-0b89a3dcfb759f66-m0,bandit,0,True,0.9669140216112959,0.03308597838870413,3.375,True,0.9999599456787109,"{""continue"": ""X"", ""disengage"": ""Y""}",3a6d3940d6fc01ba85eb3e69775f8dd36fc9f425b8724cfc21012785969a4135,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b89a3dcfb759f66-m1,llama_order_calibration_v1-0b89a3dcfb759f66,llama_order_calibration_v1-0b89a3dcfb759f66-m1,bandit,0,True,0.7549149868676283,0.24508501313237172,1.125,True,0.9996796250343323,"{""continue"": ""Y"", ""disengage"": ""X""}",4dd09f4f40a9e9a0561b2af6acb1b1adf3c0f027555aba0c1bd8e7d5413edb0a,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b914974465ce4cb-m0,llama_order_calibration_v1-0b914974465ce4cb,llama_order_calibration_v1-0b914974465ce4cb-m0,bandit,0,True,0.9626731126558706,0.037326887344129464,3.25,True,0.9999752640724182,"{""continue"": ""X"", ""disengage"": ""Y""}",19bb7e50ab0dde125e397bd208ab9581ae47570b97367f2bd4f14e8ccfc76934,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b914974465ce4cb-m1,llama_order_calibration_v1-0b914974465ce4cb,llama_order_calibration_v1-0b914974465ce4cb-m1,bandit,0,True,0.9324533088603709,0.0675466911396291,2.625,True,0.9998970031738281,"{""continue"": ""Y"", ""disengage"": ""X""}",31b6b53714a63685110f14c1bc4243103ab66c506377d99ee85dd6e83a685311,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0c056e1e004ef1d5-m0,llama_order_calibration_v1-0c056e1e004ef1d5,llama_order_calibration_v1-0c056e1e004ef1d5-m0,information_sampling,0,True,0.9626731126558706,0.037326887344129464,3.25,True,0.9998818039894104,"{""continue"": ""X"", ""disengage"": ""Y""}",0405d75a23780587fdd8187ce80e525f6a4b60a2d20ce1d8f8cca26395d515ee,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
